Id,Status,Situation,Criteria,Justification,Title,Abstract,Main Topic,Method,Authors,Venue,Year,Venue Type,DOI,Link,Downloaded,Keywords
S162,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Smelly relations: Measuring and understanding database schema quality,"Context: Databases are an integral element of enterprise applications. Similarly to code, database schemas are also prone to smells - best practice violations. Objective: We aim to explore database schema quality, associated characteristics and their relationships with other software artifacts. Method: We present a catalog of 13 database schema smells and elicit developers' perspective through a survey. We extract embedded sql statements and identify database schema smells by employing the DbDeo tool which we developed. We analyze 2925 production-quality systems (357 industrial and 2568 well-engineered open-source projects) and empirically study quality characteristics of their database schemas. In total, we analyze 629 million lines of code containing more than 393 thousand sql statements. Results: We find that the index abuse smell occurs most frequently in database code, that the use of an orm framework doesn't immune the application from database smells, and that some database smells, such as adjacency list, are more prone to occur in industrial projects compared to open-source projects. Our co-occurrence analysis shows that whenever the clone table smell in industrial projects and the values in attribute definition smell in open-source projects get spotted, it is very likely to find other database smells in the project. Conclusion: The awareness and knowledge of database smells are crucial for developing high-quality software systems and can be enhanced by the adoption of better tools helping developers to identify database smells early. © 2018 ACM.",Smells,MSR Studies,"Sharma, T. and Fragkoulis, M. and Rizou, S. and Bruntink, M. and Spinellis, D.",Proceedings - International Conference on Software Engineering,"2,018.00",Conference Paper,10.1145/3183519.3183529,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049670169&doi=10.1145%2f3183519.3183529&partnerID=40&md5=82140ed9972e734cc9baaa703c63a675,No,Antipatterns;  Code smells;  Database schema smells;  Software maintenance;  Software quality;  Technical debt
S166,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Evaluating domain-specific metric thresholds: An empirical study,"Software metrics and thresholds provide means to quantify several quality attributes of software systems. Indeed, they have been used in a wide variety of methods and tools for detecting different sorts of technical debts, such as code smells. Unfortunately, these methods and tools do not take into account characteristics of software domains, as the intrinsic complexity of geo-localization and scientific software systems or the simple protocols employed by messaging applications. Instead, they rely on generic thresholds that are derived from heterogeneous systems. Although derivation of reliable thresholds has long been a concern, we still lack empirical evidence about threshold variation across distinct software domains. To tackle this limitation, this paper investigates whether and how thresholds vary across domains by presenting a large-scale study on 3,107 software systems from 15 domains. We analyzed the derivation and distribution of thresholds based on 8 well-known source code metrics. As a result, we observed that software domain and size are relevant factors to be considered when building benchmarks for threshold derivation. Moreover, we also observed that domain-specific metric thresholds are more appropriated than generic ones for code smell detection. © 2018 ACM.",TD Symptoms/Consequences,MSR Studies,"Mori, A. and Vale, G. and Viggiato, M. and Oliveira, J. and Figueiredo, E. and Cirilo, E. and Jamshidi, P. and Kastner, C.",Proceedings - International Conference on Software Engineering,"2,018.00",Conference Paper,10.1145/3194164.3194173,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051486330&doi=10.1145%2f3194164.3194173&partnerID=40&md5=4dc45a9f967364a60204d0d376da94bd,No,software domains;  software metrics;  thresholds
S160,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Identifying self-admitted technical debt in open source projects using text mining,"Technical debt is a metaphor to describe the situation in which long-term code quality is traded for short-term goals in software projects. Recently, the concept of self-admitted technical debt (SATD) was proposed, which considers debt that is intentionally introduced, e.g., in the form of quick or temporary fixes. Prior work on SATD has shown that source code comments can be used to successfully detect SATD, however, most current state-of-the-art classification approaches of SATD rely on manual inspection of the source code comments. In this paper, we proposed an automated approach to detect SATD in source code comments using text mining. In our approach, we utilize feature selection to select useful features for classifier training, and we combine multiple classifiers from different source projects to build a composite classifier that identifies SATD comments in a target project. We investigate the performance of our approach on 8 open source projects that contain 212,413 comments. Our experimental results show that, on every target project, our approach outperforms the state-of-the-art and the baselines approaches in terms of F1-score. The F1-score achieved by our approach ranges between 0.518 - 0.841, with an average of 0.737, which improves over the state-of-the-art approach proposed by Potdar and Shihab by 499.19%. When compared with the text mining-based baseline approaches, our approach significantly improves the average F1-score by at least 58.49%. When compared with a natural language processing-based baseline, our approach also significantly improves its F1-score by 27.95%. Our proposed approach can be used by project personnel to effectively identify SATD with minimal manual effort. © 2017, Springer Science+Business Media New York.",Technical Debt,MSR Studies,"Huang, Q. and Shihab, E. and Xia, X. and Lo, D. and Li, S.",Empirical Software Engineering,"2,018.00",Article,10.1007/s10664-017-9522-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019111869&doi=10.1007%2fs10664-017-9522-4&partnerID=40&md5=bf81dd210ee56c037ad5dcc46f13b901,No,Source code comments;  Technical debt;  Text mining
S183,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Integrating traceability within the IDE to prevent requirements documentation debt,"Documentation issues in software projects have been recently classified as a type of technical debt (TD), a concept that express-es how shortcuts during software development result in additional maintenance and evolution effort. The specific type of TD is termed documentation debt, and is among the most prevalent ones in practice and research. In this study we propose a tool-based approach for preventing documentation TD during requirements engineering, by: (a) integrating requirements specifications into the IDE, and (b) enabling the real-time creation of traces between requirements and code. To this end, we collaborated with a small/medium software company and conducted a qualitative case study to: (a) analyze the current process and identify existing TD types, (b) collect the requirements and implement a tool that aims at preventing the accumulation of documentation TD, and (c) investigate whether the tool successfully meets its goal. The results of the study suggest that the developers are motivated to use the developed tool, since they feel that they can develop, maintain and utilize requirements specifications and traces as part of their daily routine. © 2018 IEEE.",Technical Debt,Tool,"Charalampidou, S. and Ampatzoglou, A. and Chatzigeorgiou, A. and Tsiridis, N.","Proceedings - 44th Euromicro Conference on Software Engineering and Advanced Applications, SEAA 2018","2,018.00",Conference Paper,10.1109/SEAA.2018.00075,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057170768&doi=10.1109%2fSEAA.2018.00075&partnerID=40&md5=f921537113b9bb124888868d43e6bc93,No,Documentation debt;  Requirements;  Traceability
S237,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,PageRank and criticality of architectural smells,"Architectural smells represent symptoms of problems at architectural level that can negatively impact internal software qualities and lead to architectural debt. Detecting architectural smells and identifying the most critical ones is the key to prioritize refactoring efforts and prevent software architecture erosion. In this paper we focus our attention on three architectural smells based on dependency issues, called Cyclic Dependency, Unstable Dependency, and Hub-Like Dependency. Moreover, we evaluate the PageRank and Criticality of these smells through the analysis of six projects. PageRank is a measure that estimates whether an architectural smell is located in an important part of the project, where the importance is evaluated according to how many parts of a project depend on the one involved in the architectural smell. We describe a case study on the analysis of the possible relation existing between the PageRank and Criticality of the smells. The results show how the two measures can be both used to locate the architectural smells that need particular inspections and attention. © 2019 ACM.",Smells,Tool,"Fontana, F.A. and Pigazzini, I. and Raibulet, C. and Basciano, S. and Roveda, R.",ACM International Conference Proceeding Series,"2,019.00",Conference Paper,10.1145/3344948.3344982,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079076291&doi=10.1145%2f3344948.3344982&partnerID=40&md5=98fc4f6167a7d21777046eeb3d9e61b3,No,Architectural debt;  Architectural smells;  Architecture erosion;  Criticality;  PageRank;  Prioritization
S196,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Are static analysis violations really fixed? a closer look at realistic usage of sonarqube,"The use of automatic static analysis tools (ASATs) has gained increasing attention in the last few years. Even though available research have already explored ASATs issues and how they are fixed, these studies rely on revisions of the software, instead of mining real usage of these tools and real issue reports. In this paper we contribute with a comprehensive, multi-method study about the usage of SonarQube (a popular static analysis tool), mining 421,976 issues from 246 projects in four different instance of SonarQube: two hosted in open-source communities (Eclipse and Apache) and two hosted in Brazilian government institutions (Brazilian Court of Account (TCU) and Brazilian Federal Police (PF)). We first surveyed team leaders of the analyzed projects and found that they mostly consider ASATs warning messages as relevant for overall software improvement. Second, we found that both Eclipse and TCU employ highly customized instance of SonarQube, with more than one thousand distinct checkers-though just a subset of these checkers actually led to issues' reports. Surprisingly, we found a low resolution rate per project in all organizations-on average, 13% of the issues have been solved in the systems. We conjecture that just a subset of the checkers reveal real design and coding flaws, and this might artificially increase the technical debt of the systems. Nevertheless, considering all systems, there is a central tendency(median) of fixing issues after 18.99 days they had been reported, faster than the period for fixing bugs as reported in previous studies. © 2019 IEEE.",TD Symptoms/Consequences,Tool,"Marcilio, D. and Bonifacio, R. and Monteiro, E. and Canedo, E. and Luz, W. and Pinto, G.",IEEE International Conference on Program Comprehension,"2,019.00",Conference Paper,10.1109/ICPC.2019.00040,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072313164&doi=10.1109%2fICPC.2019.00040&partnerID=40&md5=6310f4a0fdb1ce38295afe2b19bb03eb,No,Empirical Studies;  Mining Software Repositories;  SonarQube;  Static Analysis
S352,Read,Rejected,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;,"After reading the full-text, the links provided pointed to no tool.",A Novel Four-Way Approach Designed with Ensemble Feature Selection for Code Smell Detection,"Purpose: Code smells are residuals of technical debt induced by the developers. They hinder evolution, adaptability and maintenance of the software. Meanwhile, they are very beneficial in indicating the loopholes of problems and bugs in the software. Machine learning has been extensively used to predict Code Smells in research. The current study aims to optimise the prediction using Ensemble Learning and Feature Selection techniques on three open-source Java data sets. Design and Results: The work Compares four varied approaches to detect code smells using four performance measures Accuracy(P1), G-mean1 (P2), G-mean2 (P3), and F-measure (P4). The study found out that values of the performance measures did not degrade it instead of either remained same or increased with feature selection and Ensemble Learning. Random Forest turns out to be the best classifier while Correlation-based Feature selection(BFS) is best amongst Feature Selection techniques. Ensemble Learning aggregators, i.e. ET5C2 (BFS intersection Relief with classifier Random Forest), ET6C2 (BFS union Relief with classifier Random Forest), and ET5C1 (BFS intersection Relief with Bagging) and Majority Voting give best results from all the aggregation combinations studied. Conclusion: Though the results are good, but using Ensemble learning techniques needs a lot of validation for a variety of data sets before it can be standardised. The Ensemble Learning techniques also pose a challenge concerning diversity and reliability and hence needs exhaustive studies. © 2013 IEEE.",Smells,Tool,"Kaur, I. and Kaur, A.",IEEE Access,2021,Article,10.1109/ACCESS.2021.3049823,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106816941&doi=10.1109%2fACCESS.2021.3049823&partnerID=40&md5=bec13ba44e5f67ee6d5e5bfba285ec34,No,Aggregator;  code smell;  ensemble;  feature selection;  machine learning;  open-source projects and performance measures
S202,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Reusing Code from StackOverflow: The Effect on Technical Debt,"Software reuse is a well-established software engineering process that aims at improving development productivity. Although reuse can be performed in a systematic way (e.g., through product lines), in practice, reuse is performed in many cases opportunistically, i.e., copying small code chunks either from the web or in-house developed projects. Knowledge sharing communities and especially StackOverflow constitute the primary source of code-related information for amateur and professional software developers. Despite the obvious benefit of increased productivity, reuse can have a mixed effect on the quality of the resulting code depending on the properties of the reused solutions. An efficient concept for capturing a wide-range of internal software qualities is the metaphor of Technical Debt which expresses the impact of shortcuts in software development on its maintenance costs. In this paper, we present the results of an empirical study on the relation between the existence of reusing code retrieved from StackOverflow on the technical debt of the target system. In particular, we study several open-source projects and identify non-trivial pieces of code that exhibit a perfect or near-perfect match with code provided in the context of answers in StackOverflow. Then, we compare the technical debt density of the reused fragments, obtained as the ratio of inefficiencies identified by SonarQube over the lines of reused code, to the technical debt density of the target codebase. The results provide insights to the potential impact of small-scale code reuse on technical debt and highlight the benefits of assessing code quality before committing changes to a repository. © 2019 IEEE.",TD Symptoms/Consequences,Tool,"Digkas, G. and Nikolaidis, N. and Ampatzoglou, A. and Chatzigeorgiou, A.","Proceedings - 45th Euromicro Conference on Software Engineering and Advanced Applications, SEAA 2019","2,019.00",Conference Paper,10.1109/SEAA.2019.00022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075985757&doi=10.1109%2fSEAA.2019.00022&partnerID=40&md5=aceb9e6272c234d5810be8ecfd9b82ed,No,Code Reuse;  Software Quality;  StackOverflow;  Technical Debt
S205,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,CBR insight: Measure and visualize source code quality,"A critical aspect of software development is creating high-quality source code that is reliable, maintainable, and has limited technical debt. Software development teams generally employ a variety of design techniques, processes, and tools to continually work towards quality code while balancing the overall time and budget demands of the project. The goal of CBR Insight (CBRI) is to provide an objective and understandable measure of software quality that can help guide decisions and direct limited resources during software acquisition, development, and sustainment. CBRI supports the ability of technical and non-technical decision makers to verify that a project's software implementation follows through on promises around developing and sustaining reliable and maintainable software while managing technical debt. © 2019 IEEE.",TD Symptoms/Consequences,Tool,"Ludwig, J. and Cline, D.","Proceedings - 2019 IEEE/ACM International Conference on Technical Debt, TechDebt 2019","2,019.00",Conference Paper,10.1109/TechDebt.2019.00017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071159465&doi=10.1109%2fTechDebt.2019.00017&partnerID=40&md5=16c1cdadf787a31208e1820cbf8613ba,No,Architecture;  Maintainability;  Metrics;  Reliability;  Software product quality;  Static code analysis;  Technical debt
S204,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,SARIF-enabled tooling to encourage gradual technical debt reduction,"SARIF is an emerging standard for representing the results of program analysis tools. This tool demo shows how it can enable integration between static analysis tools and version control systems such as GitHub, and by doing so, encourage developers to reduce technical debt in a gradual non-invasive fashion. © 2019 IEEE.",Technical Debt,Tool,"Anderson, P. and Kot, L. and Gilmore, N. and Vitek, D.","Proceedings - 2019 IEEE/ACM International Conference on Technical Debt, TechDebt 2019","2,019.00",Conference Paper,10.1109/TechDebt.2019.00024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071167062&doi=10.1109%2fTechDebt.2019.00024&partnerID=40&md5=e24ac2a63e12aa400678d7ac2749b299,No,Dynamic analysis;  Static analysis;  Technical debt reduction
S217,Read,Accepted,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;,,Identifying design and requirement self-admitted technical debt using N-gram IDF,"In software projects, technical debt takes place when a developer adopting a trivial solution containing quick and easy shortcuts to implement over a suitable solution that can take a longer time to solve a problem. This can cause major additional costs leading to negative impacts for software maintenance since those shortcuts might need to be reworked in the future. Detecting technical debt early can help a team cope with those risks. In this paper, we focus on Self-Admitted Technical Debt (SATD) that is a debt intentionally produced by developers. We propose an automated model to identify two most common types of self-admitted technical debt, requirement and design debt, from source code comments. We combine N-gram IDF and auto-sklearn machine learning to build the model. With the empirical evaluation on ten projects, our approach outperform the baseline method by improving the performance over 20% when identifying requirement self-admitted technical debt and achieving an average F1-score of 64% when identifying design self-admitted technical debt. © 2018 IEEE.",Technical Debt,Tool,"Wattanakriengkrai, S. and Maipradit, R. and Hata, H. and Choetkiertikul, M. and Sunetnanta, T. and Matsumoto, K.","Proceedings - 2018 9th International Workshop on Empirical Software Engineering in Practice, IWESEP 2018","2,019.00",Conference Paper,10.1109/IWESEP.2018.00010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063955510&doi=10.1109%2fIWESEP.2018.00010&partnerID=40&md5=877dc7facce6dff853f440412e6187dd,No,Automated-machine-learning;  Comment-classification;  N-gram-IDF;  Self-admitted-technical-debt
S223,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,"TETRA, as a set of techniques and tools for calculating technical debt principal and interest","The paper covers the company's proprietary approach to the assessment of software product quality and measurement of technical debt. In the paper, the authors state that the software product quality is the amount of various technical debts embedded into the product and delivered to end-users. Similar to the fact that any debt can be paid, the software product quality can be efficiently managed and measured by a set of techniques, parameters, and dimensions. The authors share the details of the company proprietary approach to technical debt management done with the help of the Technical DebT Reduction plAtform, TETRA. They share the measurement parameters, tools and major dimension for the assessment. © 2019 IEEE.",Technical Debt,Tool,"Kontsevoi, B. and Soroka, E. and Terekhov, S.","Proceedings - 2019 IEEE/ACM International Conference on Technical Debt, TechDebt 2019","2,019.00",Conference Paper,10.1109/TechDebt.2019.00021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071151240&doi=10.1109%2fTechDebt.2019.00021&partnerID=40&md5=45b77370afe3f75d5b3ea33b200ad38d,No,Bug;  Fixing;  Measurements;  Metrics;  Quality;  Software;  Technical debt;  Test;  Testing
S224,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Teamscale: Tackle technical debt and control the quality of your software,"Teamscale is a software intelligence platform, that is, it creates transparency on code quality and the underlying software development process. This makes it possible for developers, testers and managers to better understand and control technical debt of their systems. In this paper, we give an overview of Teamscale and how this tool can be used in practice to control and lower technical debt in the long run. We explain which code analyses can be used to identify and address technical debt. Teamscale is available for free for research and teaching purposes at www.teamscale.io. © 2019 IEEE.",Technical Debt,Tool,"Haas, R. and Niedermayr, R. and Juergens, E.","Proceedings - 2019 IEEE/ACM International Conference on Technical Debt, TechDebt 2019","2,019.00",Conference Paper,10.1109/TechDebt.2019.00016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071178983&doi=10.1109%2fTechDebt.2019.00016&partnerID=40&md5=25043c1f0b9e0e6dd1b923c6234e5be7,No,Quality Control;  Software Quality;  Technical Debt
S226,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,How deep is the mud: Fathoming architecture technical debt using designite,"The quality of software architecture is an important concern for any software development team. Architecture smells represent quality issues at architecture granularity. Identifying and refactoring them periodically is a necessity to keep architecture quality high. We present Designite, a software design quality assessment tool, that identifies seven well-known architecture smells. Along with the identification, the tool provides supplementary information such as cause and responsible classes for each identified smell instance to help developers understand and refactor the smell. The tool is relevant and useful in both research and practice context. Software developers may use it to identify technical debt instances and to refactor them. On the other hand, software engineering researchers may use the tool to carry out large-scale empirical studies concerning code smells. © 2019 IEEE.",Technical Debt,Tool,"Sharma, T.","Proceedings - 2019 IEEE/ACM International Conference on Technical Debt, TechDebt 2019","2,019.00",Conference Paper,10.1109/TechDebt.2019.00018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071171593&doi=10.1109%2fTechDebt.2019.00018&partnerID=40&md5=aab8bc7c7b9be2188266e8f2d6840f2e,No,Architecture smells;  Code Quality;  Code smells;  Maintainability;  Refactoring;  Technical debt
S232,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,On the Accuracy of SonarQube Technical Debt Remediation Time,"[Context] The popularity of tools for software quality analysis has increased over the years, with special attention to tools that calculate technical debt based on violations of a set of rules. SonarQube is one of the most used tools and provides an estimation of the time needed to remediate technical debt. However, practitioners are still skeptical about the accuracy of its remediation time estimation. [Objective] In this paper, we analyze the accuracy of SonarQube remediation time on a set of 15 open source Java projects. [Method] We designed and conducted a case study where we asked 65 novice developers to remove rule violations and reduce the technical debt of 15 projects. [Results] The results point out that SonarQube remediation time, compared to the actual time for reducing technical debt, is generally overestimated, and that the most accurate estimation relates to code smells, while the least accurate concerns bugs. [Conclusions] Practitioners and researchers could benefit from the results of this work to understand up to which extent technical debt is overestimated and have a more accurate estimation of the remediation time.? © 2019 IEEE.",Technical Debt,Tool,"Saarimaki, N. and Baldassarre, M.T. and Lenarduzzi, V. and Romano, S.","Proceedings - 45th Euromicro Conference on Software Engineering and Advanced Applications, SEAA 2019","2,019.00",Conference Paper,10.1109/SEAA.2019.00055,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075990807&doi=10.1109%2fSEAA.2019.00055&partnerID=40&md5=2f05fe27d979e0d3dfeaf5c4072a2de3,No,code smells;  effort estimation;  remediation time;  Technical debt
S240,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Automatic Classifying Self-Admitted Technical Debt Using N-Gram IDF,"Technical Debt (TD) introduces a quality problem and increases maintenance cost since it may require improvements in the future. Several studies show that it is possible to automatically detect TD from source code comments that developers intentionally created, so-called self-admitted technical debt (SATD). Those studies proposed to use binary classification technique to predict whether a comment shows SATD. However, SATD has different types (e.g. design SATD and requirement SATD). In this paper, we therefore propose an approach using N-gram Inverse Document Frequency (IDF) and employ a multi-class classification technique to build a model that can identify different types of SATD. From the empirical evaluation on 10 open-source projects, our approach outperforms alternative methods (e.g. using BOW and TF-IDF). Our approach also improves the prediction performance over the baseline benchmark by 33%. © 2019 IEEE.",Technical Debt,Tool,"Wattanakriengkrai, S. and Srisermphoak, N. and Sintoplertchaikul, S. and Choetkiertikul, M. and Ragkhitwetsagul, C. and Sunetnanta, T. and Hata, H. and Matsumoto, K.","Proceedings - Asia-Pacific Software Engineering Conference, APSEC","2,019.00",Conference Paper,10.1109/APSEC48747.2019.00050,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078087442&doi=10.1109%2fAPSEC48747.2019.00050&partnerID=40&md5=c9b36f217cbe918e926ea52fb8e3529f,No,Multi class Classification;  N-Gram IDF;  Self Admitted Technical Debt
S277,Read,Rejected,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;,"After the reading, it does not automate any TD activity",Capture the Feature Flag: Detecting Feature Flags in Open-Source,"Feature flags (a.k.a feature toggles) are a mechanism to keep new features hidden behind a boolean option during development. Flags are used for many purposes, such as A/B testing and turning off a feature more easily in case of failures. While software engineering research on feature flags is burgeoning, examples of software projects using flags rarely come from outside commercial and private projects, stifling academic progress. To address this gap, in this paper we present a novel semi-automated mining software repositories approach to detect feature flags in open-source projects, based on analyzing the projects' commit messages and other project characteristics. With our approach, we search over all open-source GitHub projects, finding multiple thousand plausible and active candidate feature flagging projects. We manually validate projects and assemble a dataset of 100 confirmed feature flagging projects. To demonstrate the benefits of our detection technique, we report on an initial analysis of feature flags in the validated sample of 100 projects, investigating practices that correlate with shorter flag lifespans (typically desirable to reduce technical debt), such as using the issue tracker and having a flag owner. © 2020 ACM.",TD Symptoms/Consequences,Tool,"Meinicke, J. and Hoyos, J. and Vasilescu, B. and Kästner, C.","Proceedings - 2020 IEEE/ACM 17th International Conference on Mining Software Repositories, MSR 2020",2020,Conference Paper,10.1145/3379597.3387463,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093692563&doi=10.1145%2f3379597.3387463&partnerID=40&md5=b6b31cfb308f3235a2c7b044b5a137f3,No,
S249,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Mitigating technical and architectural debt with sonargraph,"Sonargraph is a static analyzer with a focus on software architecture and metrics. The motivation to create Sonargraph came from the assumption that architectural debt (aka structural debt) is the most toxic form of technical debt. Repairing a broken architecture requires global and high-risk changes, while fixing other forms of technical debt mostly involves low-risk local changes. Therefore, the tool enables architects and developers to formally describe their architectural blueprint using a custom DSL (domain specific language). Once defined architectural rules can be checked and enforced in an automated way in all stages of the development process. This guarantees that a software system will never end up as the notorious 'big ball of mud'. Sonargraph currently supports Java, C#, C/C++ and Python and is used by hundreds of organizations worldwide. © 2019 IEEE.",Technical Debt,Tool,"Von Zitzewitz, A.","Proceedings - 2019 IEEE/ACM International Conference on Technical Debt, TechDebt 2019","2,019.00",Conference Paper,10.1109/TechDebt.2019.00022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071188204&doi=10.1109%2fTechDebt.2019.00022&partnerID=40&md5=6413dc6b96fef31b99caa3cbdec5c6e7,No,Architectural debt;  Software architecture enforcement;  Software metrics
S250,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,A Study on Architectural Smells Prediction,"Architectural smells can be detrimental to the system maintainability, evolvability and represent a source of architectural debt. Thus, it is very important to be able to understand how they evolved in the past and to predict their future evolution. In this paper, we evaluate if the existence of architectural smells in the past versions of a project can be used to predict their presence in the future. We analyzed four Java projects in 295 Github releases and we applied for the prediction four different supervised learning models in a repeated cross-validation setting. We found that historical architectural smell information can be used to predict the presence of architectural smells in the future. Hence, practitioners should carefully monitor the evolution of architectural smells and take preventative actions to avoid introducing them and stave off their progressive growth. © 2019 IEEE.",Smells,Tool,"Arcelli Fontana, F. and Avgeriou, P. and Pigazzini, I. and Roveda, R.","Proceedings - 45th Euromicro Conference on Software Engineering and Advanced Applications, SEAA 2019","2,019.00",Conference Paper,10.1109/SEAA.2019.00057,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075999048&doi=10.1109%2fSEAA.2019.00057&partnerID=40&md5=3a9d32f3dff27ced9892d892d6cc3c7a,No,Architectural smells prediction and evolution;  architectural technical debt
S208,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,DV8: Automated architecture analysis tool suites,"This paper present our tool suite called DV8. The objective of DV8 is to measure software modularity, detect architecture anti-patterns as technical debts, quantify the maintenance cost of each instance of an anti-pattern, and enable return on investment analyses of architectural debts. Different from other tools, DV8 integrates data from both source code and revision history. We now elaborate on each of DV8's capabilities. © 2019 IEEE.",TD Symptoms/Consequences,Tool,"Cai, Y. and Kazman, R.","Proceedings - 2019 IEEE/ACM International Conference on Technical Debt, TechDebt 2019","2,019.00",Conference Paper,10.1109/TechDebt.2019.00015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071149050&doi=10.1109%2fTechDebt.2019.00015&partnerID=40&md5=22f9dfbe637f4a701ab9b991db9e32bf,No,Software Architecture;  Software Maintenance;  Software Quality
S225,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,CodeArena: Inspecting and improving code quality metrics using minecraft,"To minimize technical debt and increase the maintainability of software, it is essential to make developers aware of what factors influence the maintainability of a codebase. To make the field of code quality and maintenance intuitive to developers, we propose CodeArena, which is an extension to the popular 3D sandbox game called Minecraft. CodeArena converts patterns in a codebase that are considered harmful to monsters in Minecraft, which can then be fought to improve the codebase. This way, the developer can gradually improve the quality of the code, while learning about code quality in an engaging way. © 2019 IEEE.",TD Symptoms/Consequences,Tool,"Baars, S. and Meester, S.","Proceedings - 2019 IEEE/ACM International Conference on Technical Debt, TechDebt 2019","2,019.00",Conference Paper,10.1109/TechDebt.2019.00023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071172389&doi=10.1109%2fTechDebt.2019.00023&partnerID=40&md5=1ce7377525db108d721382c8d2cfd969,No,Code Metrics;  Code Quality;  Education;  Gamification;  Maintainability;  Minecraft;  Rascal;  Software Evolution
S228,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Towards an autonomous bot for automatic source code refactoring,"Continuous refactoring is necessary to maintain source code quality and to cope with technical debt. Since manual refactoring is inefficient and error-prone, various solutions for automated refactoring have been proposed in the past. However, empirical studies have shown that these solutions are not widely accepted by software developers and most refactorings are still performed manually. For example, developers reported that refactoring tools should support functionality for reviewing changes. They also criticized that introducing such tools would require substantial effort for configuration and integration into the current development environment. In this paper, we present our work towards the Refactoring-Bot, an autonomous bot that integrates into the team like a human developer via the existing version control platform. The bot automatically performs refactorings to resolve code smells and presents the changes to a developer for asynchronous review via pull requests. This way, developers are not interrupted in their workflow and can review the changes at any time with familiar tools. Proposed refactorings can then be integrated into the code base via the push of a button. We elaborate on our vision, discuss design decisions, describe the current state of development, and give an outlook on planned development and research activities. © 2019 IEEE.",TD Symptoms/Consequences,Tool,"Wyrich, M. and Bogner, J.","Proceedings - 2019 IEEE/ACM 1st International Workshop on Bots in Software Engineering, BotSE 2019","2,019.00",Conference Paper,10.1109/BotSE.2019.00015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072925071&doi=10.1109%2fBotSE.2019.00015&partnerID=40&md5=0f8442e1490f56458ca00ccc7aa92b66,No,Bot;  Code smells;  Maintainability;  Refactoring;  Software evolution;  Software quality improvement
