,id,title,abstract,study-type,author,author_type,year,venue,venue_type,link,reference,objective,artifacts
36,S37,Designite - A Software Design Quality Assessment Tool,"Poor design quality and huge technical debt are common issues perceived in real-life software projects. Design smells are indicators of poor design quality and the volume of design smells found could be treated as the design debt of the software system. The existing smell detection tools focus largely on implementation smells and do not reveal a comprehensive set of smells that arise at design level. In this paper, we present Designite - a software design quality assessment tool. It not only supports comprehensive design smells detection but also provides a detailed metrics analysis. Further, it offers various features to help identify issues contributing to design debt and improve the design quality of the analyzed software system.",Propose,"Tushar Sharma
Pratibha Mishra
Rohit Tiwari",Both,"2,016.00",International Workshop on Bringing Architectural Design Thinking Into Developers' Daily Activities,Workshop,http://dx.doi.org/10.1145/2896935.2896938,"@INPROCEEDINGS{Sharma2016-ca,
  title           = ""Designite"",
  booktitle       = ""Proceedings of the 1st International Workshop on Bringing
                     Architectural Design Thinking into Developers' Daily
                     Activities - {BRIDGE} '16"",
  author          = ""Sharma, Tushar and Mishra, Pratibha and Tiwari, Rohit"",
  publisher       = ""ACM Press"",
  year            =  2016,
  address         = ""New York, New York, USA"",
  copyright       = ""http://www.acm.org/publications/policies/copyright\_policy\#Background"",
  conference      = ""the 1st International Workshop"",
  location        = ""Austin, Texas""
}","In this

paper, we present Designite - a software design quality as-
sessment tool.",Designite
37,S38,Technical debt reduction using search based automated refactoring,"Software refactoring has been recognized as a valuable process during software development and is often aimed at repaying technical debt. Technical debt arises when a software product has been built or amended without full care for structure and extensibility. Refactoring is Useful to keep technical debt low and if it can be automated there are obvious efficiency benefits. Using a combination of automated refactoring techniques, software metrics and metaheuristic searches, an automated refactoring tool can improve the structure of a software system without affecting its functionality. In this paper, four different refactoring approaches are Compared using an automated software refactoring tool. Weighted sums of metrics are Used to form different fitness functions that drive the search process towards certain aspects of software quality. Metrics are combined to measure coupling, abstraction and inheritance and a fourth fitness function is Proposed to measure reduction in technical debt. The 4 functions are Compared against each other using 3 different searches on 6 different open source programs. Four out of the 6 programs show a larger improvement in the technical debt function after the search based refactoring process. The results show that the technical debt function is Useful for assessing improvement in quality.",Compare,"Michael Mohan
Des Greer
Paul McMullan",Academia,"2,016.00",The Journal of Systems and Software,Journal,http://dx.doi.org/10.1016/j.jss.2016.05.019,"@ARTICLE{Mohan2016-xp,
  title     = ""Technical debt reduction using search based automated
               refactoring"",
  author    = ""Mohan, Michael and Greer, Des and McMullan, Paul"",
  journal   = ""J. Syst. Softw."",
  publisher = ""Elsevier BV"",
  volume    =  120,
  pages     = ""183--194"",
  month     =  oct,
  year      =  2016,
  language  = ""en""
}
","In this paper, four different refactoring approaches are Compared using an automated software refactoring tool.",A-CMA
38,S39,An experience report on detecting and repairing software architecture erosion,"Architecture erosion constitutes the most visible effect of the degradation of design. It is a major reason to address the design debt, often caUsed by architectural mismatch problems. Today, the identification of design erosion is a major concern for designers and software maintainers. Adequate tools are necessary to identify and repair the debt. This paper describes our experience on identifying architectural erosion problems on existing open source software applications through the support of two well known tools. Moreover, we outline if the tools provide Useful hints in repairing some of the detected problems.",Compare,"Francesca Arcelli Fontana 
Riccardo Roveda
Marco Zanoni
Claudia Raibulet
Rafael Capilla",Academia,"2,016.00",Working IEEE/IFIP Conference on Software Architecture,Conference,http://doi.org/10.1109/WICSA.2016.37,"@INPROCEEDINGS{Fontana2016-ta,
  title           = ""An experience report on detecting and repairing software
                     architecture erosion"",
  booktitle       = ""2016 13th Working {IEEE/IFIP} Conference on Software
                     Architecture ({WICSA})"",
  author          = ""Fontana, Francesca Arcelli and Roveda, Riccardo and
                     Zanoni, Marco and Raibulet, Claudia and Capilla, Rafael"",
  publisher       = ""IEEE"",
  month           =  apr,
  year            =  2016,
  conference      = ""2016 13th Working IEEE/IFIP Conference on Software
                     Architecture (WICSA)"",
  location        = ""Venice, Italy""
}
","This paper describes
our experience on identifying architectural erosion problems on
existing open source software applications through the support
of two well known tools.","Sonargraph
Structure101"
39,S40,Pragmatic Approach for Managing Technical Debt in Legacy Software Project,"Tackling the issues of technical debt in a large system in parallel with continuing to enable it to evolve is a challenging problem.

In this paper, we are describing a case study of managing technical debt on a legacy project referred here as Global Configurator Project (GCP) using pragmatic approach. The paper presents holistic lifecycle approach with four stages and various practices in each stage for managing technical debt. Given life cycle approach and practices will be Useful for any software project. In particular, these practices will be significant to any legacy project towards repaying debt. These methods can also be applied to continuously improve code quality and product quality. This paper also focus on technical debt User stories to gain business buy-in and share few 'best in market' tools that we Used in repaying technical debt. It also focUses on sensitizing developers to the concept of debt and improving their skills. This paper describes the process Used by a separate team formed to reduce technical debt in a large legacy system.

The paper targets to the Project Managers, Test Managers architects and Scrum Masters in agile software development.",Use,"Rajeev Kumar Gupta
Prabhulinga Manikreddy
Sandesh Naik
Arya K",Academia,"2,016.00",India Software Engineering Conference,Conference,https://doi.org/10.1145/2856636.2856655,"@INPROCEEDINGS{Gupta2016-kv,
  title           = ""Pragmatic approach for managing technical debt in legacy
                     software project"",
  booktitle       = ""Proceedings of the 9th India Software Engineering
                     Conference"",
  author          = ""Gupta, Rajeev Kumar and Manikreddy, Prabhulinga and Naik,
                     Sandesh and Arya, K"",
  publisher       = ""ACM"",
  month           =  feb,
  year            =  2016,
  address         = ""New York, NY, USA"",
  copyright       = ""http://www.acm.org/publications/policies/copyright\_policy\#Background"",
  conference      = ""ISEC '16: 9th India Software Engineering Conference"",
  location        = ""Goa India""
}
","In this paper, we are describing a case study of managing
technical debt on a legacy project referred here as Global
Configurator Project (GCP) using pragmatic approach. The paper
presents holistic lifecycle approach with four stages and various
practices in each stage for managing technical debt.","GDI handle
IBM Rational Purify
Coverity
Findbugs
Simian
source monitor
Perfmon
Apache JMeter
PCLint
FxCop
Intel thread checker
Cppcheck"
40,S41,Technical Debt Prioritization using Predictive Analytics,"Recently, Technical Debt (TD) has gained popularity in the Software Engineering community to describe design decisions that allow software development teams to achieve short term benefits such as expedited release of code. Technical debt accrued should be managed to avoid the disastrous consequences of these temporary workarounds. Management of technical debt involve documenting the debt item in the backlog including some type of quantification in terms of person-hours or story Cites for example. Subsequently, the debt items are prioritized and addressed. Developers or project managers face problems to decide which debt is higher priority or more ""problematic"" and which one needs to be addressed first. This decision-making process is not standardized and is currently context dependent in most organizations. This paper bridge this gap by proposing a framework which makes Use of a plethora of techniques ranging from data mining to prediction and decision models that project managers can Use in their decision-making process to determine which technical debt is more critical and should be addressed first.",Propose,"Zadia Codabux
Byron J. Williams",Academia,"2,016.00",International Conference on Software Engineering Companion,Conference,http://dx.doi.org/10.1145/2889160.2892643,"@inproceedings{Codabux_2016,
	doi = {10.1145/2889160.2892643},
	url = {https://doi.org/10.1145%2F2889160.2892643},
	year = 2016,
	month = {may},
	publisher = {{ACM}},
	author = {Zadia Codabux and Byron J. Williams},
	title = {Technical debt prioritization using predictive analytics},
	booktitle = {Proceedings of the 38th International Conference on Software Engineering Companion}
}",This paper bridge this gap by proposing a framework which makes Use of a plethora of techniques ranging from data mining to prediction and decision models that project managers can Use in their decision-making process to determine which technical debt is more critical and should be addressed first.,Understand
41,S42,Does Your Configuration Code Smell?,"Infrastructure as Code (IaC) is the practice of specifying computing system configurations through code, and managing them through traditional software engineering methods. The wide adoption of configuration management and increasing size and complexity of the associated code, prompt for assessing, maintaining, and improving the configuration code's quality. In this context, traditional software engineering knowledge and best practices associated with code quality management can be leveraged to assess and manage configuration code quality. We Propose a catalog of 13 implementation and 11 design configuration smells, where each smell violates recommended best practices for configuration code. We analyzed 4,621 Puppet repositories containing 8.9 million lines of code and detected the cataloged implementation and design configuration smells. Our analysis reveals that the design configuration smells show 9% higher average co-occurrence among themselves than the implementation configuration smells. We also observed that configuration smells belonging to a smell category tend to co-occur with configuration smells belonging to another smell category when correlation is computed by volume of identified smells. Finally, design configuration smell density shows negative correlation whereas implementation configuration smell density exhibits no correlation with the size of a configuration management system.",Use,"Tushar Sharma
Marios Fragkoulis
Diomidis Spinellis",Academia,"2,016.00",Working Conference on Mining Software Repositories,Conference,https://doi.org/10.1145/2901739.2901761,"@inproceedings{Sharma_2016,
	doi = {10.1145/2901739.2901761},
	url = {https://doi.org/10.1145%2F2901739.2901761},
	year = 2016,
	month = {may},
	publisher = {{ACM}},
	author = {Tushar Sharma and Marios Fragkoulis and Diomidis Spinellis},
	title = {Does your configuration code smell?},
	booktitle = {Proceedings of the 13th International Conference on Mining Software Repositories}
}","We Propose a catalog of 13 implementation and 11 design configuration smells, where each
smell violates recommended best practices for configuration code.","Puppeteer
Puppet-Lint"
42,S43,Technical Debt in MDE: A Case Study on GMF/EMF-Based Projects,"Technical Debt (TD) is a metaphor referring to immature software artifacts that can hurt the long-term maintenance of a system. Model-Driven Engineering (MDE) is a model-centric software development approach, which promises better maintainability. However, there is a lack of empirical evidence on the existence and influence of TD in the context of MDE. This paper investigates the code-level TD in MDE projects, which is incurred during code generation. We evaluated 16 open-source and non-trivial GMF/EMF-based MDE projects using bad smells, which are widely-accepted TD indicators. The results demonstrate that MDE is not TD-free, and code generators also incur TD, similarly to developers. In fact, the generated code usually contains more TD than handwritten code, which influences significantly the maintenance of MDE projects.",Use,"Xiao He
Paris Avgeriou
Peng Liang
Zengyang Li",Academia,"2,016.00",International Conference on Model Driven Engineering Languages and Systems,Conference,https://doi.org/10.1145/2976767.2976806,"@inproceedings{He_2016,
	doi = {10.1145/2976767.2976806},
	url = {https://doi.org/10.1145%2F2976767.2976806},
	year = 2016,
	month = {oct},
	publisher = {{ACM}},
	author = {Xiao He and Paris Avgeriou and Peng Liang and Zengyang Li},
	title = {Technical debt in {MDE}},
	booktitle = {Proceedings of the {ACM}/{IEEE} 19th International Conference on Model Driven Engineering Languages and Systems}
}","This paper investigates the code-level TD in MDE projects, which is incurred during code generation. We evaluated 16 open-source and non-trivial GMF/EMF-based MDE projects using bad smells, which are widely-accepted TD indicators.",PMD
43,S44,How do software development teams manage technical debt? – An empirical study,"Technical debt (TD) is a metaphor for taking shortcuts or workarounds in technical decisions to gain short-term benefit in time-to-market and earlier software release. In this study, one large software development organization is investigated to gather empirical evidence related to the concept of technical debt management (TDM). We Used the exploratory case study method to collect and analyze empirical data in the case organization by interviewing a total of 25 persons in eight software development teams. We were able to identify teams where the current strategy for TDM was only to fix TD when necessary, when it started to caUse too much trouble for development. We also identified teams where the management had a systematic strategy to identify, measure and monitor TD during the development process. It seems that TDM can be associated with a similar maturity concept as software development in general. Development teams may raise their maturity by increasing their awareness and applying more advanced processes, techniques and tools in TDM. TDM is an essential part of sustainable software development, and companies have to find right approaches to deal with TD to produce healthy software that can be developed and maintained in the future.",Cite,"Jesse Yli-Huumo
Andrey Maglyas
Kari Smolander",Academia,"2,016.00",The Journal of Systems and Software,Journal,http://dx.doi.org/10.1016/j.jss.2016.05.018,"@article{Yli_Huumo_2016,
	doi = {10.1016/j.jss.2016.05.018},
	url = {https://doi.org/10.1016%2Fj.jss.2016.05.018},
	year = 2016,
	month = {oct},
	publisher = {Elsevier {BV}},
	volume = {120},
	pages = {195--218},
	author = {Jesse Yli-Huumo and Andrey Maglyas and Kari Smolander},
	title = {How do software development teams manage technical debt? {\textendash} An empirical study},
	journal = {Journal of Systems and Software}
}","We Used the exploratory case study method to collect and analyze empirical
data in the case organization by interviewing a total of 25 persons in eight software development teams.","SonarQube
DebtFlag
JIRA
CheckStyle
FindBugs"
44,S45,Automatic Detection of Instability Architectural Smells,"Code smells represent well known symptoms of problems at code level, and architectural smells can be seen as their counterpart at architecture level. If identified in a system, they are usually considered more critical than code smells, for their effect on maintainability issues. In this paper, we introduce a tool for the detection of architectural smells that could have an impact on the stability of a system. The detection techniques are based on the analysis of dependency graphs extracted from compiled Java projects and stored in a graph database. The results combine the information gathered from dependency and instability metrics to identify flaws hidden in the software architecture. We also Propose some filters trying to avoid possible false positives.",Propose,"Francesca Arcelli Fontana
Ilaria Pigazzini
Riccardo Roveda
Marco Zanoni",Academia,"2,016.00",International Conference on Software Maintenance and Evolution,Conference,,"@inproceedings{Fontana2016,
  doi = {10.1109/icsme.2016.33},
  url = {https://doi.org/10.1109/icsme.2016.33},
  year = {2016},
  month = oct,
  publisher = {{IEEE}},
  author = {Francesca Arcelli Fontana and Ilaria Pigazzini and Riccardo Roveda and Marco Zanoni},
  title = {Automatic Detection of Instability Architectural Smells},
  booktitle = {2016 {IEEE} International Conference on Software Maintenance and Evolution ({ICSME})}
}",,"Arcan
Ai Reviewer
Understand"
45,S46,Refactoring for Software Architecture Smells,"Code smells and refactoring have received considerable interest from the academia as well as from the industry in the past two decades. The interest has given birth to various tools, processes, techniques, and practices to identify smells and refactor them. Despite the high interest, architecture smells and corresponding refactorings haven't received as much focus and adoption from the software engineering community. In this paper, we motivate the need of architecture refactoring, discuss the current related research, and present a few potential research directions for architecture refactoring.",Cite,,Academia,"2,016.00",International Workshop on Software Refactoring,Conference,,"@inproceedings{10.1145/2975945.2975946,
author = {Samarthyam, Ganesh and Suryanarayana, Girish and Sharma, Tushar},
title = {Refactoring for Software Architecture Smells},
year = {2016},
isbn = {9781450345095},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/2975945.2975946},
doi = {10.1145/2975945.2975946},
booktitle = {Proceedings of the 1st International Workshop on Software Refactoring},
pages = {1–4},
numpages = {4},
keywords = {Architecture refactoring, Software ar- chitecture, Architecture smells},
location = {Singapore, Singapore},
series = {IWoR 2016}
}",,
46,S47,Technical Debt Principal Assessment through Structural Metrics,"One of the first steps towards the effective Technical Debt (TD) management is the quantification and continuous monitoring of the TD principal. In the current state-ofresearch and practice the most common ways to assess TD principal are the Use of: (a) structural proxies—i.e., most commonly through quality metrics; and (b) monetized proxies—i.e., most commonly through the Use of the SQALE (Software Quality Assessment based on Lifecycle Expectations) method. Although both approaches have merit, they seem to rely on different viewCites of TD and their levels of agreement have not been evaluated so far. Therefore, in this paper, we empirically explore this relation by analyzing data obtained from 20 open source software projects and build a regression model that establishes a relationship between them. The results of the study suggest that a model of seven structural metrics, quantifying different aspects of quality (i.e., coupling, cohesion, complexity, size, and inheritance) can accurately estimate TD principal as appraised by SonarQube. The results of this case study are Useful to both academia and industry. In particular, academia can gain knowledge on: (a) the reliability and agreement of TD principal assessment methods and (b) the structural characteristics of software that contribute to the accumulation of TD, whereas practitioners are provided with an alternative evaluation model with reduced number of parameters that can accurately assess TD, through traditional software quality metrics and tools.",Use,"Makrina Viola Kosti
Apostolos Ampatzoglou
Alexander Chatzigeorgiou
Georgios Pallas
Ioannis Stamelos
Lefteris Angelis",Academia,"2,017.00",Euromicro Conference on Software Engineering and Advanced Applications,Conference,http://doi.org/10.1109/SEAA.2017.59,"@inproceedings{Kosti2017,
  doi = {10.1109/seaa.2017.59},
  url = {https://doi.org/10.1109/seaa.2017.59},
  year = {2017},
  month = aug,
  publisher = {{IEEE}},
  author = {Makrina Viola Kosti and Apostolos Ampatzoglou and Alexander Chatzigeorgiou and Georgios Pallas and Ioannis Stamelos and Lefteris Angelis},
  title = {Technical Debt Principal Assessment Through Structural Metrics},
  booktitle = {2017 43rd Euromicro Conference on Software Engineering and Advanced Applications ({SEAA})}
}","Specifically, we investigate if the monetized TD principal assessments can be subsumed by metric scores.",SonarQube
47,S48,SonarQube as a Tool to Identify Software Metrics and Technical Debt in the Source Code through Static Analysis,"Technical Debt (TD), also known as technical debt design or technical debt code, analyze the
consequence that could have a system once it has been designed architecturally, coding or implemented. TD
refers to work to be performed rather than software design or coding is considered complete or correct. Static
analysis is a technique to identify and analyze software characteristics from source code; through static
analysis we can identify elements such as packages, classes, relationships, lines of code (LOC’s), bugs,
complexity, coding violations and others. In addition, subsystems, components and their relationships
supported by tools, algorithms, frameworks to analyze the code were identified. SQALE is a quality and
analysis model contains the internal properties expected from the code in the context of the evaluation, it has
been Used to perform many assessments of software source code, of various sizes in different application
domains and programming language. SonarQube is an open source platform to manage the source code
quality, this cover seven axes of code quality among which stand: architecture and design, duplications, unit
test, complexity, potential bugs, codifications rules, comments, among others; this platform work with over
20 programming languages.
This paper, Use as input the source code of the software applications written in different programming
language for through static analysis identify metrics, characteristics, and technical debt with the aim to
improve the quality when writing code, also supported in static analysis identify aspects such as correct apply
of quality attributes, standards and best practices of programming that based in ISO 9126 and SQALE ensure
the correct software development in terms of design and coding. ",Use,"Daniel Guaman
Pablo Alejandro-Quezada Sarmiento
Luis Barba-Guamán
Paola Cabrera
Liliana Enciso",Academia,"2,017.00",International Workshop on Computer Science and Engineering,Workshop,http://doi.org/10.18178/wcse.2017.06.030,"@INPROCEEDINGS{Guaman2017,
  title      = ""{SonarQube} as a tool to identify software metrics and
                technical debt in the source code through static analysis"",
  booktitle  = ""Proceedings of 2017 the 7th International Workshop on Computer
                Science and Engineering"",
  publisher  = ""WCSE"",
  year       =  2017,
  conference = ""2017 the 7th International Workshop on Computer Science and
                Engineering"",
  author = ""Daniel Guaman, and Pablo Alejandro-Quezada Sarmiento, and Luis Barba-Guamán, and Paola Cabrera, and Liliana Enciso""
}","This paper exposes the search, classify and analysis of aspects related to technical debt in the code, also showed the Use of SonarQube combined with static analysis as a technique to analyze the software characteristics from the source code to determine possible issues in the people that develop software.",SonarQube
48,S49,Towards Triaging Code-Smell Candidates via Runtime Scenarios and Method-Call Dependencies,"Managing technical debt includes the detection and assessment of debt at the code and design levels (such as bad smells). Existing approaches and tools for smell detection primarily Use static program data for decision support. While a static analysis allows for identifying smell candidates without executing and instrumenting the system, such approaches also come with the risk of missing candidates or of producing false positives. Moreover, smell candidates might result from a deliberate design decision (e.g., of applying a particular design pattern). Such risks and the general ambivalence of smell detection require a manual design and/or code inspection for reviewing all alleged smells.

In this paper, we Propose an approach to obtain tailorable design documentation for object-oriented systems based on runtime tests. In particular, the approach supports a tool-supported triaging of code-smell candidates. We Use runtime scenario tests to extract execution traces. Based on these execution traces, different (automatically derived) model perspectives on method-call dependencies (e.g., dependency structure matrices, DSMs; UML2 sequence diagrams) are then Used as decision support for assessing smell candidates. Our approach is implemented as part of the KaleidoScope tool which is publicly available for download.",Propose,"Thorsten Haendler
Stefan Sobernig
Mark Strembeck",Academia,"2,017.00",International Conference on Agile Software Development: Companion,Conference,https://doi.org/10.1145/3120459.3120468,"@INPROCEEDINGS{Haendler2017-qd,
  title           = ""Towards triaging code-smell candidates via runtime
                     scenarios and method-call dependencies"",
  booktitle       = ""Proceedings of the {XP2017} Scientific Workshops"",
  author          = ""Haendler, Thorsten and Sobernig, Stefan and Strembeck,
                     Mark"",
  publisher       = ""ACM"",
  month           =  may,
  year            =  2017,
  address         = ""New York, NY, USA"",
  copyright       = ""http://www.acm.org/publications/policies/copyright\_policy\#Background"",
  conference      = ""XP '17 Workshops: Proceedings of the Scientific Workshops
                     of XP2017"",
  location        = ""Cologne Germany""
}
","In this paper, we Propose an approach to obtain tailorable design
documentation for object-oriented systems based on runtime tests.
In particular, the approach supports a tool-supported triaging of
code-smell candidates.",KaleidoScope
49,S50,Toward Technical Debt Aware Software Modeling,"Over the last decade, the technical debt metaphor has gained in popularity, and many tools exist today that can calculate the debt associated with a miscellany of source code. However, no corpus of studies has investigated the effects that
creation and refactoring of conceptual models have on technical debt of corresponding code. Our work addresses this fundamental gap by first providing a map of correspondences between recognized model smells of UML Class Diagrams and Java
source code issues. We then describe a set of empirical studies to calculate the technical debt of generated source code as a result of refactorings performed on their
corresponding models. Our results reveal a significant disconnect between model
smells and technical debt values of resultant generated source code, and little effect
of model refactorings on reducing these values. However, once correspondences between model smells and code issues are defined, model refactoring proves helpful in
preventing technical debt from a high abstraction level. We exemplify this scenario
by providing an in-depth example, and conclude with a discussion of results.
",Use,"Gonzalo Rojas
Clemente Izurieta
Isaac Griffith",Academia,"2,017.00",Iberoamerican Conference on Software Engineering,Conference,https://www.semanticscholar.org/paper/Toward-Technical-Debt-Aware-Software-Modeling-Rojas-Izurieta/11bbc831715fab2e3f30a999fc3968a39a331ae8,"@inproceedings{Rojas2017TowardTD,
  title={Toward Technical Debt Aware Software Modeling},
  author={Gonzalo Rojas and Clemente Izurieta and Isaac Griffith},
  booktitle={CIbSE},
  year={2017}
}","Our work addresses this fundamental gap by first providing a map of cor-
respondences between recognized model smells of UML Class Diagrams and Java

source code issues.","EMF Refactor
SonarQube"
50,S51,Recommending when Design Technical Debt Should be Self-Admitted,"Previous research has shown how developers ""selfadmit"" technical debt introduced in the source code, commenting why such code represents a workaround or a temporary, incomplete solution. This paper investigates the extent to which previously self-admitted technical debt can be Used to provide recommendations to developers when they write new source code, suggesting them when to ""self-admit"" design technical debt, or possibly when to improve the code being written. To achieve this goal, we have developed a machine learning approach named TEDIOUS (TEchnical Debt IdentificatiOn System), which leverages various kinds of method-level features as independent variables, including source code structural metrics, readability metrics and, last but not least, warnings raised by static analysis tools. We assessed TEDIOUS on data from nine open source projects for which there are available tagged self-admitted technical debt instances, also comparing the performances of different machine learners. Results of the study indicate that TEDIOUS achieves, when recommending self-admitted technical debts within a single project, an average precision of about 50% and a recall of 52%. When predicting cross-projects, TEDIOUS improves, achieving an average precision of 67% and a recall of 55%. Last, but not least, we noticed how TEDIOUS leverages readability, size and complexity metrics, as well as some warnings raised by static analysis tools.",Propose,"Fiorella Zampetti
Cedric Noiseux
Giuliano Antoniol
Foutse Khomh
Massimiliano Di Penta",Academia,"2,017.00",International Conference on Software Maintenance and Evolution,Conference,http://doi.org/10.1109/ICSME.2017.44,"@INPROCEEDINGS{Zampetti2017-bi,
  title           = ""Recommending when Design Technical Debt Should be
                     {Self-Admitted}"",
  booktitle       = ""2017 {IEEE} International Conference on Software
                     Maintenance and Evolution ({ICSME})"",
  author          = ""Zampetti, Fiorella and Noiseux, Cedric and Antoniol,
                     Giuliano and Khomh, Foutse and Di Penta, Massimiliano"",
  publisher       = ""IEEE"",
  month           =  sep,
  year            =  2017,
  conference      = ""2017 IEEE International Conference on Software Maintenance
                     and Evolution (ICSME)"",
  location        = ""Shanghai""
}","To achieve this

goal, we have developed a machine learning approach named TE-
DIOUS (TEchnical Debt IdentificatiOn System), which leverages

various kinds of method-level features as independent variables,
including source code structural metrics, readability metrics and,
last but not least, warnings raised by static analysis tools.","CheckStyle
PMD"
51,S52,Compiling Static Software Metrics for Reliability and Maintainability from GitHub Repositories,"This paper identifies a small, essential set of static software code metrics linked to the software product quality characteristics of reliability and maintainability and to the most commonly identified sources of technical debt. A plug-in is created for the Understand code visualization and static analysis tool that calculates and aggregates the metrics. The plug-in produces a high-level interactive html report as well as developer-level information needed to address quality issues using Understand. A script makes Use of Git, Understand, and the plug-in to compile results for a list of GitHub repositories into a single file. The primary contribution of this work is to describe an open-source plug-in to measure and visualize architectural complexity based on the propagation cost and core size metrics, which are not currently found in other tools. The plug-in should be Useful to researchers and practitioners interested in these two metrics and as an expedient starting Cite to experimentation with metric collection and aggregation for groups of GitHub repositories. The plug-in was developed as a first step in an ongoing project aimed at applying case-based reasoning to the issue of software product quality.",Use,"Jeremy Ludwig
Steven Xu
Frederick Webber",Both,"2,017.00","International Conference on Systems, Man, and Cybernetics",Conference,https://doi.org/10.1109/SMC.2017.8122569,"@INPROCEEDINGS{Ludwig2017-dp,
  title           = ""Compiling static software metrics for reliability and
                     maintainability from {GitHub} repositories"",
  booktitle       = ""2017 {IEEE} International Conference on Systems, Man, and
                     Cybernetics ({SMC})"",
  author          = ""Ludwig, Jeremy and Xu, Steven and Webber, Frederick"",
  publisher       = ""IEEE"",
  month           =  oct,
  year            =  2017,
  conference      = ""2017 IEEE International Conference on Systems, Man and
                     Cybernetics (SMC)"",
  location        = ""Banff, AB""
}","A plug-in is
created for the Understand code visualization and static analysis
tool that calculates and aggregates the metrics. The plug-in
produces a high-level interactive html report as well as
developer-level information needed to address quality issues
using Understand.","Understand
CBR Insight"
52,S53,Improving Object-Oriented Design ality: A Portfolio and Measurement-Based Approach,"Current software development trends have shortened release cycles and forced developers to implement short-term solutions that cannot cope with increasing product complexity. This phenomenon of introducing hasty design choices or applying bad design practices becomes something known as technical debt, in particular design debt. To pay off this debt, the literature offers approaches for identifying these design flaws; however, few methods for properly prioritizing investment efforts are available. In this paper, we Propose an approach that supports the decision-making process regarding design improvements. It identifies violations of design best practices that are then arranged within a two-dimensional portfolio matrix. This matrix combines the importance of practices of design quality with actual achievement relative to a benchmark suite. To show the application of the approach in a quality-improvement process, we performed a feasibility study on three open-source projects and a benchmark suite containing 50 projects. This study clearly shows that the importance of the design best practices greatly impacts the improvement decisions and must be aligned with the strategic quality goals of the product.",Propose,"Johannes Bräuer
Reinhold Plösch
Matthias Saft
Christian Körner",Both,"2,017.00",International Workshop on Software Measurement,Workshop,http://doi.org/10.1145/3143434.3143454,"@INPROCEEDINGS{Brauer2017-ja,
  title           = ""Improving object-oriented design quality"",
  booktitle       = ""Proceedings of the 27th International Workshop on Software
                     Measurement and 12th International Conference on Software
                     Process and Product Measurement"",
  author          = ""Br{\""a}uer, Johannes and Saft, Matthias and Pl{\""o}sch,
                     Reinhold and K{\""o}rner, Christian"",
  publisher       = ""ACM"",
  month           =  oct,
  year            =  2017,
  address         = ""New York, NY, USA"",
  copyright       = ""http://www.acm.org/publications/policies/copyright\_policy\#Background"",
  conference      = ""IWSM/Mensura '17: 27th International Workshop on Software
                     Measurement and 12th International Conference on Software
                     Process and Product Measurement"",
  location        = ""Gothenburg Sweden""
}","In this paper, we Propose an approach that supports the decision-making process re-
garding design improvements. It identies violations of design best practices that are then arranged within a two-dimensional portfolio matrix.","MUSE
SonarQube"
53,S54,What if I had no smells?,"What would have happened if I did not have any code smell? This is an interesting question that no previous study, to the best of our knowledge, has tried to answer. In this paper, we present a method for implementing a what-if scenario analysis estimating the number of defective files in the absence of smells. Our industrial case study shows that 20% of the total defective files were likely avoidable by avoiding smells. Such estimation needs to be Used with the due care though as it is based on a hypothetical history (i.e., zero number of smells and same process and product change characteristics). Specifically, the number of defective files could even increase for some types of smells. In addition, we note that in some circumstances, accepting code with smells might still be a good option for a company.",Use,"Davide Falessi
Barbara Russo
Kathleen Mullen",Both,"2,017.00",International Symposium on Empirical Software Engineering and Measurement,Conference,https://doi.org/10.1109/esem.2017.14,"@inproceedings{Falessi_2017,
	doi = {10.1109/esem.2017.14},
	url = {https://doi.org/10.1109/esem.2017.14},
	year = 2017,
	month = {nov},
	publisher = {{IEEE}},
	author = {Davide Falessi and Barbara Russo and Kathleen Mullen},
	title = {What if I Had No Smells?},
	booktitle = {2017 {ACM}/{IEEE} International Symposium on Empirical Software Engineering and Measurement ({ESEM})}
}
","This is an interesting question that no previous study, to
the best of our knowledge, has tried to answer. In this paper, we
present a method for implementing a what-if scenario analysis
estimating the number of defective files in the absence of smells.",SonarQube
